full_name,title,company,batch,linkedin,segment,dm_angle,one_liner
Raghav Mehrish,Founder,Arctic Health,P26,https://www.linkedin.com/in/rmehrish/,founder,founder-to-founder (ship in 8 weeks),AI-native credentialing and contracting for healthcare
Sam Slezek,Founder,Arctic Health,P26,https://www.linkedin.com/in/slezek/,founder,founder-to-founder (ship in 8 weeks),AI-native credentialing and contracting for healthcare
Aryaman Khanna,Founder,Arden,P26,https://www.linkedin.com/in/aryaman-khanna-210a9121b/,founder,founder-to-founder (ship in 8 weeks),AI agents that automate SOX control testing.
David Lomelin,Co-Founder,Arden,P26,https://www.linkedin.com/in/david-lom/,founder,founder-to-founder (ship in 8 weeks),AI agents that automate SOX control testing.
Vikram Chennai,Founder,Ardent,P26,https://www.linkedin.com/in/vikram-chennai/,founder,founder-to-founder (ship in 8 weeks),Database sandboxes for Agents
Phillip Li,Founder,Arga Labs,P26,https://www.linkedin.com/in/phillip-li-a28a84217/,founder,founder-to-founder (ship in 8 weeks),Real-world sandboxes to test agents and agent-facing software
Akira Tong,Founder,Arga Labs,P26,https://www.linkedin.com/in/akira-tong,founder,founder-to-founder (ship in 8 weeks),Real-world sandboxes to test agents and agent-facing software
Theodore Otzenberger,Co-Founder,Armature,P26,https://www.linkedin.com/in/theodore-otzenberger-895345131/,founder,founder-to-founder (ship in 8 weeks),Armature helps companies monitor and optimize the agent experience.
Louis Scremin,Co-Founder,Armature,P26,https://www.linkedin.com/in/louis-scremin/,founder,founder-to-founder (ship in 8 weeks),Armature helps companies monitor and optimize the agent experience.
William Alexander,Founder,Arzana,P26,https://www.linkedin.com/in/william--alexander/,founder,founder-to-founder (ship in 8 weeks),AI automation for the manufacturing office
Marshall Kools,Founder,Arzana,P26,https://www.linkedin.com/in/marshallkools/,founder,founder-to-founder (ship in 8 weeks),AI automation for the manufacturing office
Rihab Lajmi,Founder,Asendia AI,P26,https://www.linkedin.com/in/rihab-l-085182164/,founder,founder-to-founder (ship in 8 weeks),AI-powered recruitment workflows for staffing agencies and enterprises
Badis Zormati,Founder,Asendia AI,P26,https://www.linkedin.com/in/badis-zormati/,founder,founder-to-founder (ship in 8 weeks),AI-powered recruitment workflows for staffing agencies and enterprises
George Kalligeros,Co-founder & CEO,Aseon Labs,P26,https://www.linkedin.com/in/kalligeros,founder,founder-to-founder (ship in 8 weeks),Robotic pitstops for self-driving cars
Dan Keene,Co-founder & COO,Aseon Labs,P26,https://www.linkedin.com/in/dancbkeene/,founder,founder-to-founder (ship in 8 weeks),Robotic pitstops for self-driving cars
Shreyas Kaps,Founder,Ashr,W26,https://www.linkedin.com/in/shreyas-kaps-5b1a4420b/,founder,founder-to-founder (ship in 8 weeks),Automated Multi-Modal Testing for Agents
Rohan Kulkarni,Founder,Ashr,W26,https://linkedin.com/in/rohankulkz,founder,founder-to-founder (ship in 8 weeks),Automated Multi-Modal Testing for Agents
Sanmay Sarada,Founder,Astraea,P26,https://www.linkedin.com/in/sanmay-sarada/,founder,founder-to-founder (ship in 8 weeks),Agents that accelerate clinical trials.
Joshua Wang,Founder,Astraea,P26,https://www.linkedin.com/in/joshua-wang-229196319/,founder,founder-to-founder (ship in 8 weeks),Agents that accelerate clinical trials.
Michael Baron,Founder,Aurorin CAD,W26,https://www.linkedin.com/in/michael-andrew-baron/,founder,founder-to-founder (ship in 8 weeks),Claude code for Mechanical Engineers
George Zhai,Founder,AutoSitu,W26,https://www.linkedin.com/in/george-zhai-213373141/,founder,founder-to-founder (ship in 8 weeks),AI-native workspace for development plan reviews
Xuanshu (Asher) Lin,Founder,AutoSitu,W26,https://www.linkedin.com/in/linxis01/,founder,founder-to-founder (ship in 8 weeks),AI-native workspace for development plan reviews
Aidan Pratt,Founder,Autostep,P26,https://linkedin.com/in/aidan-pratt,founder,founder-to-founder (ship in 8 weeks),Uncover repetitive tasks and automate them
Ashton Daniel,Co-Founder and CEO,Auxos,P26,https://linkedin.com/in/ashton-daniel,founder,founder-to-founder (ship in 8 weeks),Simulations of real people for market research 
Kerry Lu,Co-Founder,Auxos,P26,https://www.linkedin.com/in/kerry-lu/,founder,founder-to-founder (ship in 8 weeks),Simulations of real people for market research 
Jerry Wu,Co-Founder,Auxos,P26,https://www.linkedin.com/in/jerrywuprofile/,founder,founder-to-founder (ship in 8 weeks),Simulations of real people for market research 
Chawin Asavasaetakul,Co-Founder and CEO,Avoice,W26,https://www.linkedin.com/in/chawinasava/,founder,founder-to-founder (ship in 8 weeks),Harvey for Architecture
Eric Zhu,Founder,Axis,W26,https://www.linkedin.com/in/eric-zhu-774a4918b/,founder,founder-to-founder (ship in 8 weeks),An AI Copilot for Trading Desks
Ian Wang,Founder,Axis,W26,https://www.linkedin.com/in/ian-wang-m1n1,founder,founder-to-founder (ship in 8 weeks),An AI Copilot for Trading Desks
Mathias Løvring,Co-Founder,Balance,W26,https://www.linkedin.com/in/mathias-lovring/,founder,founder-to-founder (ship in 8 weeks),Full-Stack AI Accounting
Gus Levinson,Founder,Balance,W26,https://www.linkedin.com/in/gus-levinson/,founder,founder-to-founder (ship in 8 weeks),Full-Stack AI Accounting
